x,y_numerical,y_analytical
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000000e-02,1.649330275591026074e-01,1.766944003638124261e-01
6.250000000000000000e-02,2.415096404828542265e-01,2.499250187481244778e-01
9.375000000000000000e-02,2.993819883221031097e-01,3.061168512672025055e-01
1.250000000000000000e-01,3.478198316029113002e-01,3.534887583054642235e-01
1.562500000000000000e-01,3.903159438339702247e-01,3.952242466634193208e-01
1.875000000000000000e-01,4.286303958410875858e-01,4.329560125434122053e-01
2.187500000000000000e-01,4.637963805200465139e-01,4.676539524151560046e-01
2.500000000000000000e-01,4.964813419163153774e-01,4.999500074992500598e-01
2.812500000000000000e-01,5.271459079196245678e-01,5.302831256742620569e-01
3.125000000000000000e-01,5.561237752674251800e-01,5.589729022229570354e-01
3.437500000000000000e-01,5.836658432004092623e-01,5.862606057708856788e-01
3.750000000000000000e-01,6.099663913770986268e-01,6.123336780419574854e-01
4.062500000000000000e-01,6.351794938901312859e-01,6.373411816003105024e-01
4.375000000000000000e-01,6.594297812330034425e-01,6.614039758005995084e-01
4.687500000000000000e-01,6.828197605679159343e-01,6.846216660804592680e-01
5.000000000000000000e-01,7.054349506326618169e-01,7.070774953998465451e-01
5.312500000000000000e-01,7.273475792458327094e-01,7.288418769696251021e-01
5.625000000000000000e-01,7.486193064922878060e-01,7.499750029163749776e-01
5.937500000000000000e-01,7.693032700807955759e-01,7.705288081819936519e-01
6.250000000000000000e-01,7.894456483099008270e-01,7.905484743550702520e-01
6.562500000000000000e-01,8.090868727906560531e-01,8.100735986811715694e-01
6.875000000000000000e-01,8.282625823155148614e-01,8.291391150928663079e-01
7.187500000000000000e-01,8.470043823537075633e-01,8.477760286740037010e-01
7.500000000000000000e-01,8.653404564913970143e-01,8.660120077680484307e-01
7.812500000000000000e-01,8.832960636310234204e-01,8.838718660681459394e-01
8.125000000000000000e-01,9.008939460002173272e-01,9.013779586878428729e-01
8.437500000000000000e-01,9.181546667772875203e-01,9.185505102594783144e-01
8.750000000000000000e-01,9.350968916262074604e-01,9.354078887962411493e-01
9.062500000000000000e-01,9.517376251256778330e-01,9.519668358891617554e-01
9.375000000000000000e-01,9.680924106217682068e-01,9.682426614582256841e-01
9.687500000000000000e-01,9.841755001906881128e-01,9.842494095086359307e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
